decimalLongitude	decimalLatitude	year	species	pa
5.42909	43.20937	1	sp1	1
-43.05	49.03	1	sp1	1
-2.52369	47.29234	1	sp1	1
34.054	-26.913	1	sp1	1
-41.63	46.3	1	sp1	1
-174.5	27.5	1	sp1	1
-125.5	42.5	1	sp1	1
-1.74805	49.33119	1	sp1	1
20.317	-39.114	1	sp1	1
-71.2	39.68	1	sp1	1
-143.5	18.5	1	sp1	1
-70.83	39.91	1	sp1	1
28.618	-32.928	1	sp1	1
-165.5	5.5	1	sp1	1
-11.5	-11.5	1	sp1	1
132.336334	-11.121042	1	sp1	1
-18.5	-18.5	1	sp1	1
-80.61503	30.101718	1	sp1	1
-123.5	-20.5	1	sp1	1
-9.892	52.587167	1	sp1	1
36.7251	-18.8115	1	sp1	1
159.5	-9.5	1	sp1	1
13.586	-26.736	1	sp1	1
-46.86	41.48	1	sp1	1
-87.35	29.01	1	sp1	1
-79.06	31.4	1	sp1	1
33.098	-28.097	1	sp1	1
33.104	-27.878	1	sp1	1
-78.96	31.46	1	sp1	1
-9.800794	51.418581	1	sp1	1
32.74551	-28.66021	1	sp1	1
35.582	-28.595	1	sp1	1
31.425	-33.042	1	sp1	1
-93.780637	15.992623	1	sp1	1
-70.40283	41.10266	1	sp1	1
6.46529	43.04601	1	sp1	1
-175.5	33.5	1	sp1	1
-98.550316	16.243898	1	sp1	1
-87.0997	26.1943	1	sp1	1
17.724	-38.519	1	sp1	1
-75.5917	37.1668	1	sp1	1
-139.5	20.5	1	sp1	1
16.828	-37.987	1	sp1	1
29.981	-33.471	1	sp1	1
32.79042	-27.36556	1	sp1	1
32.7649	-27.3721	1	sp1	1
-28.3852	38.4051	1	sp1	1
-67.28	39.53	1	sp1	1
-49	14	1	sp1	1
0.337414	51.454263	1	sp1	1
-1.33168	46.01202	1	sp1	1
-36.5	43.5	1	sp1	1
32.899	-27.372	1	sp1	1
-174.5	3.5	1	sp1	1
-87.1	29.18	1	sp1	1
-41	43	1	sp1	1
-89.5	-3.5	1	sp1	1
146.6728	-38.7372	1	sp1	1
32.035	-31.677	1	sp1	1
5.5	-8.5	1	sp1	1
-42.5	42.5	1	sp1	1
13.816	-32.037	1	sp1	1
-143.5	25.5	1	sp1	1
-2.9039	47.38555	1	sp1	1
-71.601944	41.166667	1	sp1	1
30.563	-34.604	1	sp1	1
-99.5	-21.5	1	sp1	1
-4.51694	51.7078	1	sp1	1
-8.0029	51.8218	1	sp1	1
31.559	-32.553	1	sp1	1
15.306	-38.087	1	sp1	1
33.2097	-28.7187	1	sp1	1
-80.4971	25.0222	1	sp1	1
-110.5	-14.5	1	sp1	1
7.8398	-34.7985	1	sp1	1
138.45139	-35.18176	1	sp1	1
-76.75	-12.4611	1	sp1	1
-5.632652	50.041216	1	sp1	1
-1.17708	44.40902	1	sp1	1
-45.18	13.9	1	sp1	1
34.036	-25.03	1	sp1	1
-86.153	29.957	1	sp1	1
0.9153	57.7497	1	sp1	1
36.033	-22.69	1	sp1	1
-92.5	0.5	1	sp1	1
32.169	-30.384	1	sp1	1
35.672	-28.674	1	sp1	1
-84.75	26.98	1	sp1	1
17.647	-36.531	1	sp1	1
-72.51	40.322	1	sp1	1
-80.7495	29.3272	1	sp1	1
-72.5	39.21	1	sp1	1
-2.20589	46.67142	1	sp1	1
120.5	21.5	1	sp1	1
1.83409	6.28658	1	sp1	1
35.5025	-19.6633	1	sp1	1
-86	29.798	1	sp1	1
-86.8275	29.6885	1	sp1	1
-4.85702	48.03826	1	sp1	1
125.5	5.5	1	sp1	1
43.72637	-16.43051	1	sp1	1
-8.521605	51.629721	1	sp1	1
-8.831844	54.699025	1	sp1	1
-6.34427	52.248708	1	sp1	1
-40.23	46.21	1	sp1	1
33.0301	-29.2078	1	sp1	1
35.659	-26.86	1	sp1	1
33.168	-32.336	1	sp1	1
6.34018	43.00496	1	sp1	1
13.995	-26.591	1	sp1	1
13.982	-31.21	1	sp1	1
-74.95	35.26	1	sp1	1
25.697	-36.651	1	sp1	1
-1.62751	46.47587	1	sp1	1
32.9692	-28.8355	1	sp1	1
35.367	-21.179	1	sp1	1
-71.580045	41.369492	1	sp1	1
35.949	-27.112	1	sp1	1
-47.46	38.75	1	sp1	1
35.6843	-23.2154	1	sp1	1
-6.961	55.295851	1	sp1	1
24.952	-36.015	1	sp1	1
39.173	-23.131	1	sp1	1
6.5	-15.5	1	sp1	1
-84.6	27.1	1	sp1	1
137.5	22.5	1	sp1	1
-30.5	49.5	1	sp1	1
158.5	-19.5	1	sp1	1
-5.194411	51.688563	1	sp1	1
-6.25	49.1167	1	sp1	1
-63.940513	11.195266	1	sp1	1
-7.635738	55.317271	1	sp1	1
-125.5	30.5	1	sp1	1
-61.011732	10.601342	1	sp1	1
-9.52094	51.417675	1	sp1	1
35.079	-20.272	1	sp1	1
33.309	-27.862	1	sp1	1
-158.5	22.5	1	sp1	1
-10.075	51.175	1	sp1	1
-46.08	43.66	1	sp1	1
-85.851	29.859	1	sp1	1
162.5	33.5	1	sp1	1
-69.324	41.226	1	sp1	1
-18.5	27.5	1	sp1	1
19.253	-40.142	1	sp1	1
-4.18772	47.82502	1	sp1	1
13.155	-34.046	1	sp1	1
14.095	-26.386	1	sp1	1
151.316	-33.733	1	sp1	1
-95.958333	15.841667	1	sp1	1
-66.458782	18.469112	1	sp1	1
-6.31694	50.0011	1	sp1	1
-1.62756	46.45133	1	sp1	1
167.5	2.5	1	sp1	1
-71.33	39.83	1	sp1	1
-3.352795	54.036459	1	sp1	1
-71.117	40.517	1	sp1	1
26.693	-36.203	1	sp1	1
-100.5	1.5	1	sp1	1
133.5	7.5	1	sp1	1
120.5	11.5	1	sp1	1
-143.5	22.5	1	sp1	1
-50.5	-29.5	1	sp1	1
-52.13	43.2	1	sp1	1
-9.240457	51.475096	1	sp1	1
-79.68559	32.7978	1	sp1	1
35.334	-25.837	1	sp1	1
-81.274	29.8883	1	sp1	1
-79.88	26.33	1	sp1	1
143.5	0.5	1	sp1	1
32.688	-31.461	1	sp1	1
-3.06927	53.817305	1	sp1	1
-3.408498	54.103232	1	sp1	1
-75.75471	36.93138	1	sp1	1
-72.233	40.815	1	sp1	1
21.829	-37.09	1	sp1	1
14.245	-33.105	1	sp1	1
-2.21221	47.13095	1	sp1	1
0.8401	6.2833	1	sp1	1
-63.8894	11.157312	1	sp1	1
-9.203787	51.477626	1	sp1	1
-9.224278	51.424053	1	sp1	1
-98.5	-0.5	1	sp1	1
