decimalLongitude	decimalLatitude
5.42909	43.20937
-43.05	49.03
-2.52369	47.29234
34.054	-26.913
-41.63	46.3
-174.5	27.5
-125.5	42.5
-1.74805	49.33119
20.317	-39.114
-71.2	39.68
-143.5	18.5
-70.83	39.91
28.618	-32.928
-165.5	5.5
-11.5	-11.5
132.336334	-11.121042
-18.5	-18.5
-80.61503	30.101718
-123.5	-20.5
-9.892	52.587167
36.7251	-18.8115
159.5	-9.5
13.586	-26.736
-46.86	41.48
-87.35	29.01
-79.06	31.4
33.098	-28.097
33.104	-27.878
-78.96	31.46
-9.800794	51.418581
32.74551	-28.66021
35.582	-28.595
31.425	-33.042
-93.780637	15.992623
-70.40283	41.10266
6.46529	43.04601
-175.5	33.5
-98.550316	16.243898
-87.0997	26.1943
17.724	-38.519
-75.5917	37.1668
-139.5	20.5
16.828	-37.987
29.981	-33.471
32.79042	-27.36556
32.7649	-27.3721
-28.3852	38.4051
-67.28	39.53
-49	14
0.337414	51.454263
-1.33168	46.01202
-36.5	43.5
32.899	-27.372
-174.5	3.5
-87.1	29.18
-41	43
-89.5	-3.5
146.6728	-38.7372
32.035	-31.677
5.5	-8.5
-42.5	42.5
13.816	-32.037
-143.5	25.5
-2.9039	47.38555
-71.601944	41.166667
30.563	-34.604
-99.5	-21.5
-4.51694	51.7078
-8.0029	51.8218
31.559	-32.553
15.306	-38.087
33.2097	-28.7187
-80.4971	25.0222
-110.5	-14.5
7.8398	-34.7985
138.45139	-35.18176
-76.75	-12.4611
-5.632652	50.041216
-1.17708	44.40902
-45.18	13.9
34.036	-25.03
-86.153	29.957
0.9153	57.7497
36.033	-22.69
-92.5	0.5
32.169	-30.384
35.672	-28.674
-84.75	26.98
17.647	-36.531
-72.51	40.322
-80.7495	29.3272
-72.5	39.21
-2.20589	46.67142
120.5	21.5
1.83409	6.28658
35.5025	-19.6633
-86	29.798
-86.8275	29.6885
-4.85702	48.03826
125.5	5.5
43.72637	-16.43051
-8.521605	51.629721
-8.831844	54.699025
-6.34427	52.248708
-40.23	46.21
33.0301	-29.2078
35.659	-26.86
33.168	-32.336
6.34018	43.00496
13.995	-26.591
13.982	-31.21
-74.95	35.26
25.697	-36.651
-1.62751	46.47587
32.9692	-28.8355
35.367	-21.179
-71.580045	41.369492
35.949	-27.112
-47.46	38.75
35.6843	-23.2154
-6.961	55.295851
24.952	-36.015
39.173	-23.131
6.5	-15.5
-84.6	27.1
137.5	22.5
-30.5	49.5
158.5	-19.5
-5.194411	51.688563
-6.25	49.1167
-63.940513	11.195266
-7.635738	55.317271
-125.5	30.5
-61.011732	10.601342
-9.52094	51.417675
35.079	-20.272
33.309	-27.862
-158.5	22.5
